nombre,apellidos,correo electrónico,contraseña temporal,carrera,ciclo
Lucía,Quispe Mamani,12501516@sima.com,lucía123,Ingeniería Civil,1
Kevin,Castillo Huamán,66751498@sima.com,kevin123,Ingeniería de Minas,4
María,Quispe Mamani,18017497@sima.com,maría123,Ingeniería Empresarial,3
Jorge,Mendoza López,50040761@sima.com,jorge123,Ingeniería Civil,8
Fernando,Cruz Fernández,19053287@sima.com,fernando123,Ciencias de la Comunicación,4
Kevin,Torres Díaz,28133724@sima.com,kevin123,Tecnología Médica - Terapia Física y Rehabilitación,10
Ana,Ramos Medina,21512289@sima.com,ana123,Enfermería,6
Valeria,Mendoza López,24372916@sima.com,valeria123,Arquitectura,3
Ricardo,Flores Rojas,97146071@sima.com,ricardo123,Farmacia y Bioquímica,7
Elena,Paredes Silva,70495404@sima.com,elena123,Arquitectura,1
María,Castillo Huamán,92086821@sima.com,maría123,Ingeniería Eléctrica,4
Carlos,Quispe Mamani,17585153@sima.com,carlos123,Ingeniería Eléctrica,2
Jorge,Castillo Huamán,35517261@sima.com,jorge123,Tecnología Médica - Terapia Física y Rehabilitación,8
Kevin,Flores Rojas,59804889@sima.com,kevin123,Tecnología Médica - Laboratorio Clínico y Anatomía Patológica,5
Valeria,Paredes Silva,99360521@sima.com,valeria123,Ingeniería Ambiental,9
Ana,Castillo Huamán,53043475@sima.com,ana123,Arquitectura,2
Carlos,Vargas Soto,70589696@sima.com,carlos123,Ingeniería de Sistemas e Informática,5
Daniela,Torres Díaz,58201499@sima.com,daniela123,Ingeniería Mecatrónica,5
Jorge,Torres Díaz,82961032@sima.com,jorge123,Odontología,9
María,Mendoza López,61831501@sima.com,maría123,Ingeniería de Minas,2
Alonso,Castillo Huamán,35698544@sima.com,alonso123,Ingeniería Eléctrica,9
Lucía,Quispe Mamani,41626241@sima.com,lucía123,Ingeniería Civil,2
Diego,Cruz Fernández,61583909@sima.com,diego123,Ingeniería Civil,10
Lucía,Torres Díaz,59215319@sima.com,lucía123,Ingeniería de Minas,1
Sofía,Mendoza López,52148508@sima.com,sofía123,Ingeniería Empresarial,4
María,Torres Díaz,89473022@sima.com,maría123,Medicina Humana,10
Elena,Vargas Soto,96458077@sima.com,elena123,Ingeniería de Sistemas e Informática,9
Andrea,Paredes Silva,87560116@sima.com,andrea123,Tecnología Médica - Laboratorio Clínico y Anatomía Patológica,2
María,Torres Díaz,97195798@sima.com,maría123,Tecnología Médica - Terapia Física y Rehabilitación,2
Carlos,Ramos Medina,68483537@sima.com,carlos123,Ingeniería de Sistemas e Informática,4
Valeria,Castillo Huamán,23299788@sima.com,valeria123,Ingeniería Mecatrónica,8
Daniela,Quispe Mamani,49481494@sima.com,daniela123,Tecnología Médica - Laboratorio Clínico y Anatomía Patológica,8
Kevin,Vargas Soto,41434385@sima.com,kevin123,Ingeniería Eléctrica,2
José,Mendoza López,42703854@sima.com,josé123,Tecnología Médica - Laboratorio Clínico y Anatomía Patológica,2
José,Cruz Fernández,62013693@sima.com,josé123,Ingeniería de Sistemas e Informática,7
Daniela,Flores Rojas,91669200@sima.com,daniela123,Ciencias de la Comunicación,5
Camila,Vargas Soto,79889630@sima.com,camila123,Farmacia y Bioquímica,10
Daniela,Paredes Silva,49985995@sima.com,daniela123,Medicina Humana,9
Daniela,Flores Rojas,12963152@sima.com,daniela123,Ingeniería Mecatrónica,1
Fernando,Flores Rojas,66838477@sima.com,fernando123,Nutrición y Dietética,6
Carlos,Torres Díaz,37225968@sima.com,carlos123,Enfermería,8
Andrea,Mendoza López,47691529@sima.com,andrea123,Ingeniería de Sistemas e Informática,6
Carlos,Castillo Huamán,94574812@sima.com,carlos123,Ingeniería Mecánica,10
Jorge,Flores Rojas,89190025@sima.com,jorge123,Ingeniería de Sistemas e Informática,6
Luis,Flores Rojas,87577675@sima.com,luis123,Ingeniería Mecánica,3
Sofía,Quispe Mamani,53793832@sima.com,sofía123,Ingeniería Civil,1
Ana,Mendoza López,72687652@sima.com,ana123,Ingeniería Ambiental,2
Andrea,Paredes Silva,90134569@sima.com,andrea123,Ingeniería Empresarial,5
Daniela,Castillo Huamán,25554512@sima.com,daniela123,Ingeniería Industrial,3
Alonso,García Pérez,80650286@sima.com,alonso123,Ingeniería Mecánica,3
Daniela,Cruz Fernández,34852367@sima.com,daniela123,Ingeniería de Minas,7
Andrea,Paredes Silva,54857183@sima.com,andrea123,Tecnología Médica - Radiología,5
Valeria,Paredes Silva,12261055@sima.com,valeria123,Odontología,8
Valeria,Flores Rojas,61860283@sima.com,valeria123,Ingeniería Ambiental,2
Carlos,Cruz Fernández,83147630@sima.com,carlos123,Ingeniería Empresarial,6
Alonso,Flores Rojas,63524145@sima.com,alonso123,Ingeniería Mecatrónica,6
José,Flores Rojas,62106993@sima.com,josé123,Nutrición y Dietética,5
Ricardo,Castillo Huamán,36210587@sima.com,ricardo123,Farmacia y Bioquímica,3
Miguel,Paredes Silva,52280828@sima.com,miguel123,Ingeniería Ambiental,6
Ricardo,Paredes Silva,18743083@sima.com,ricardo123,Tecnología Médica - Laboratorio Clínico y Anatomía Patológica,2
Ana,Mendoza López,49711984@sima.com,ana123,Ingeniería Ambiental,2
Elena,Castillo Huamán,51262615@sima.com,elena123,Ingeniería de Minas,8
Sofía,Quispe Mamani,74162143@sima.com,sofía123,Ingeniería Eléctrica,9
Diego,Castillo Huamán,12185568@sima.com,diego123,Odontología,7
Valeria,Flores Rojas,87681888@sima.com,valeria123,Ingeniería Mecatrónica,10
Sofía,Torres Díaz,44485668@sima.com,sofía123,Ingeniería Mecánica,6
Kevin,García Pérez,55747842@sima.com,kevin123,Enfermería,7
Ricardo,Torres Díaz,97957703@sima.com,ricardo123,Derecho,9
Andrea,Torres Díaz,69711556@sima.com,andrea123,Ingeniería Industrial,3
María,Quispe Mamani,19197197@sima.com,maría123,Derecho,3
Miguel,Cruz Fernández,72645434@sima.com,miguel123,Farmacia y Bioquímica,3
María,Mendoza López,46367332@sima.com,maría123,Ingeniería Industrial,1
José,Flores Rojas,79103556@sima.com,josé123,Ingeniería Eléctrica,10
Carlos,Flores Rojas,86662568@sima.com,carlos123,Ingeniería de Sistemas e Informática,6
Jorge,García Pérez,40358655@sima.com,jorge123,Ciencias de la Comunicación,4
Kevin,Quispe Mamani,68248394@sima.com,kevin123,Medicina Humana,3
Diego,Vargas Soto,31902553@sima.com,diego123,Nutrición y Dietética,10
Luis,Mendoza López,61009413@sima.com,luis123,Odontología,4
Luis,Flores Rojas,35164078@sima.com,luis123,Ingeniería Ambiental,1
Paula,Quispe Mamani,41868136@sima.com,paula123,Ingeniería de Sistemas e Informática,9
Carlos,Flores Rojas,58804192@sima.com,carlos123,Ingeniería de Minas,4
Lucía,Cruz Fernández,72724119@sima.com,lucía123,Enfermería,4
María,Torres Díaz,10980873@sima.com,maría123,Arquitectura,6
Diego,Quispe Mamani,34169439@sima.com,diego123,Odontología,7
Jorge,Paredes Silva,10258916@sima.com,jorge123,Derecho,4
Camila,Quispe Mamani,50812629@sima.com,camila123,Odontología,1
Valeria,Ramos Medina,45359055@sima.com,valeria123,Odontología,10
Sofía,Mendoza López,83224124@sima.com,sofía123,Odontología,5
María,Cruz Fernández,81176498@sima.com,maría123,Ingeniería de Sistemas e Informática,2
Jorge,Flores Rojas,72866779@sima.com,jorge123,Farmacia y Bioquímica,8
Carlos,Torres Díaz,21406206@sima.com,carlos123,Ingeniería Ambiental,5
Alonso,Vargas Soto,98652663@sima.com,alonso123,Ingeniería Civil,7
Sofía,Paredes Silva,29927949@sima.com,sofía123,Ingeniería Ambiental,1
Sofía,Flores Rojas,48138677@sima.com,sofía123,Tecnología Médica - Terapia Física y Rehabilitación,4
Luis,Castillo Huamán,66857409@sima.com,luis123,Ingeniería Industrial,9
Ricardo,Mendoza López,62349065@sima.com,ricardo123,Ingeniería Industrial,4
María,Torres Díaz,66886583@sima.com,maría123,Tecnología Médica - Laboratorio Clínico y Anatomía Patológica,8
José,Cruz Fernández,86287031@sima.com,josé123,Ingeniería de Sistemas e Informática,3
Ana,Flores Rojas,29190832@sima.com,ana123,Tecnología Médica - Laboratorio Clínico y Anatomía Patológica,10
Camila,Flores Rojas,84807619@sima.com,camila123,Ingeniería Ambiental,4
Elena,Cruz Fernández,29235053@sima.com,elena123,Odontología,6
Fernando,Castillo Huamán,20653330@sima.com,fernando123,Ingeniería Mecatrónica,1
María,Mendoza López,56731053@sima.com,maría123,Enfermería,6
Paula,Vargas Soto,11056614@sima.com,paula123,Ingeniería Civil,6
José,Cruz Fernández,47300631@sima.com,josé123,Farmacia y Bioquímica,3
José,Mendoza López,58066937@sima.com,josé123,Ingeniería Mecatrónica,10
Miguel,Paredes Silva,66368476@sima.com,miguel123,Ingeniería Mecatrónica,2
Fernando,Torres Díaz,81765997@sima.com,fernando123,Ingeniería Mecatrónica,7
José,Flores Rojas,28379261@sima.com,josé123,Tecnología Médica - Terapia Física y Rehabilitación,1
Fernando,Ramos Medina,20722876@sima.com,fernando123,Ingeniería Ambiental,3
Carlos,Quispe Mamani,47279808@sima.com,carlos123,Ingeniería Industrial,6
Carlos,Castillo Huamán,59712933@sima.com,carlos123,Ingeniería Industrial,6
Jorge,Paredes Silva,86169388@sima.com,jorge123,Ingeniería Industrial,4
Lucía,Cruz Fernández,10762182@sima.com,lucía123,Tecnología Médica - Radiología,9
Paula,Quispe Mamani,63873200@sima.com,paula123,Ingeniería Industrial,10
Lucía,Quispe Mamani,59605965@sima.com,lucía123,Arquitectura,1
Daniela,Mendoza López,17164914@sima.com,daniela123,Derecho,7
Jorge,Flores Rojas,99559402@sima.com,jorge123,Odontología,3
Fernando,Cruz Fernández,90412586@sima.com,fernando123,Ingeniería Mecánica,9
Ana,Paredes Silva,94662968@sima.com,ana123,Farmacia y Bioquímica,9
Lucía,Torres Díaz,39086787@sima.com,lucía123,Ingeniería Civil,2
Andrea,Paredes Silva,78795296@sima.com,andrea123,Ingeniería Empresarial,9
Camila,García Pérez,71132272@sima.com,camila123,Ingeniería de Sistemas e Informática,4
Ana,Torres Díaz,34929177@sima.com,ana123,Ingeniería de Sistemas e Informática,3
Daniela,Quispe Mamani,41157512@sima.com,daniela123,Ciencias de la Comunicación,6
Andrea,Torres Díaz,52174069@sima.com,andrea123,Ciencias de la Comunicación,9
Paula,Castillo Huamán,57943151@sima.com,paula123,Ingeniería Ambiental,1
Alonso,Vargas Soto,44040428@sima.com,alonso123,Tecnología Médica - Radiología,9
Jorge,Vargas Soto,16876901@sima.com,jorge123,Ingeniería Mecánica,4
Miguel,Mendoza López,67671464@sima.com,miguel123,Ingeniería de Minas,8
Andrea,Flores Rojas,25476369@sima.com,andrea123,Farmacia y Bioquímica,8
Camila,Vargas Soto,64574332@sima.com,camila123,Ingeniería de Minas,7
Ricardo,Ramos Medina,67641552@sima.com,ricardo123,Arquitectura,10
Ana,Quispe Mamani,53503388@sima.com,ana123,Farmacia y Bioquímica,1
Andrea,Castillo Huamán,36706144@sima.com,andrea123,Tecnología Médica - Terapia Física y Rehabilitación,10
Daniela,Torres Díaz,20368940@sima.com,daniela123,Tecnología Médica - Terapia Física y Rehabilitación,4
José,Vargas Soto,38566620@sima.com,josé123,Medicina Humana,3
Kevin,Paredes Silva,48380637@sima.com,kevin123,Tecnología Médica - Terapia Física y Rehabilitación,6
Sofía,Quispe Mamani,54077876@sima.com,sofía123,Derecho,10
Valeria,Vargas Soto,63869219@sima.com,valeria123,Ingeniería Mecánica,9
Daniela,Quispe Mamani,70204159@sima.com,daniela123,Arquitectura,5
Kevin,Mendoza López,26881918@sima.com,kevin123,Odontología,9
Diego,Vargas Soto,93202276@sima.com,diego123,Enfermería,3
José,Mendoza López,94284972@sima.com,josé123,Enfermería,7
Luis,Ramos Medina,94148853@sima.com,luis123,Ingeniería de Sistemas e Informática,1
José,Cruz Fernández,87376403@sima.com,josé123,Ingeniería de Minas,7
Alonso,Castillo Huamán,22370227@sima.com,alonso123,Ingeniería Industrial,2
Alonso,Paredes Silva,45601088@sima.com,alonso123,Ciencias de la Comunicación,4
Valeria,Castillo Huamán,42603020@sima.com,valeria123,Ingeniería Civil,5
Alonso,Flores Rojas,55227622@sima.com,alonso123,Farmacia y Bioquímica,4
